Occupation,MBTI,Votes
Detective,ISTP,1.6k
Philosopher,INTP,1.2k
Criminal Investigator,INFJ,588
Lawyer,ESTJ,1.1k
Physics Professor,INTP,82
Clown,ENFP,317
Psychologist,INFJ,938
Doctor,ISTJ,416
Computer Programmer,INTP,502
Entrepreneur,ENTJ,357
Mathematician,INTP,482
Military (Special Operations Forces),ISTJ,384
Trash Collector,ISTP,50
Psychiatrist,INTJ,411
Data Scientist,ISTJ,159
Activist,ENFJ,698
Dictator,ENTJ,500
CEO,ENTJ,658
Hacker,INTP,366
Barber,ISFJ,120
Graphic Designer,INFP,213
Pirate,ESTP,77
Professional Gamer,ISTP,403
Artist,ISFP,661
Police Officer,ESTJ,329
Actor,ESFP,821
Stripper,ESFP,318
Comedian,ENTP,398
Author,INFP,455
Tarot Reader,INFJ,193
Translator,ISTJ,125
Biochemist,INTP,93
Astrologer,INFJ,214
Assassin,ISTP,218
Nurse,ISFJ,270
Poet / Lyricist / Creative Writer,INFP,421
English/Literature Professor,ENFP,90
Neuroscientist,INTJ,217
Inventor,ENTP,210
Animator,INFP,258
Journalist,ENFP,154
Neurosurgeon,INTJ,85
Chemistry Professor,INTJ,55
Streamer,ENTP,142
Tourist Guide,ENFJ,47
Military Police,ISTP,29
Architect,INTJ,561
Teacher,ESFJ,504
Composer,INFP,238
Aerospace Engineer,INTP,211
Model,ESFP,198
Military Sniper,ISTP,145
Astrophysicist,INTP,179
Physicist,INTP,182
Astronaut,ISTP,242
Computer Software Engineer,INTP,125
Film and Video Editor,INTP,113
Rapper,ESTP,126
Marine Biologist,ISFP,69
Magician,ENTP,91
Chemist,INTP,102
Biophysicist,INTP,76
Radiologist,INTP,44
Professional Chess Player,INTJ,197
Video Game Designer,INTP,212
Digital Strategist,ENTJ,68
Electrical Engineer,ISTP,95
Historian,ISTJ,182
Robotics Engineer,INTP,121
Drug Lord,ESTP,85
Designer,ENFP,95
Fortune Teller,INFJ,78
Fashion Designer,ISFP,157
Hitman,ISTP,143
Athlete,ESTP,164
STEM Career,INTJ,29
Graphic Illustrator,ISFP,78
Priest,ESFJ,73
Astronomer,INTP,166
Computer Hardware Engineer,ISTP,88
Thief,ISTP,62
Statistician,ISTJ,42
Pathologist,INTJ,42
Logician,INTP,55
Travel Blogger,ENFP,58
Virologist,INTJ,31
Secret Agent,ISTP,31
Youtuber,ENFP,429
Surgeon,ISTJ,110
Linguist,INTP,146
Politician,ENTJ,258
Chef,ESTJ,141
Economist,ENTJ,98
Musicians and Singers,ISFP,201
Spy,ISTP,155
Plague Doctor,INTJ,138
Electronics Engineer,INTP,55
Mangaka,INFP,110
Geisha,ISFJ,111
Professor,ENTP,111
Firefighter,ESTP,159
Chemical Engineer,INTJ,80
Fighter Pilot,ISTP,77
Interior Designer,ISFP,78
Math Professor,INTP,93
Mechanic,ISTP,104
Screenwriter,INFP,108
Database Architect,INTJ,53
Environmental Scientist,INFJ,40
Web Developer,INTP,79
Astrochemist,INTJ,43
Mobster,ESTP,55
Psychonaut,INFJ,27
Electrician,ISTP,58
Cosmologist,INTP,102
King,ENTJ,65
Illustrator,INFP,139
Epidemiologist,INTP,38
Mechatronic engineer,ISTP,32
Warehouse Operative/Worker,ISTP,14
Geneticist,INTJ,72
Microbiologist,INTP,58
Copywriter,ENFP,21
Stockbroker,ENTP,37
Computer Forensic Analyst,INTP,35
Intelligence Analyst,INTJ,98
Be a Moderator,ISTJ,170
Film Director,INTJ,240
Brickmason,ISTP,21
Bartender,ESTP,130
Forensic Psychologist,ENTP,103
Babysitter,ESFJ,175
Gambler,ESTP,167
Archaeologist,ISTJ,126
Songwriter,INFP,140
Java Programmer,INTP,67
Veterinarian,ISFJ,101
Judge,ESTJ,189
Vigilante,ESTP,55
Photographer,ISFP,112
Actuary,INTJ,78
Comic Artist,INTP,137
Voice Actor,ENFP,103
Monk,INFJ,129
Art Therapist,ENFP,61
Mechanical Engineer,ISTP,94
Butcher,ISTP,59
Civil Engineer,ISTJ,75
Social Media Influencer,ESFP,76
Janitor,ISTJ,57
Bodyguard,ISTP,124
Flight Attendant,ESFJ,56
Door-to-Door Salesman,ESTP,50
Security Guard,ISTP,78
Tattoo Artist,ISFP,76
Women's Rights Activist,ENFJ,147
Welder,ISTP,31
Business Consultant,ENTJ,29
Cybersecurity Engineer,INTJ,86
Geologist,ISTP,30
Sociologist,ENFJ,49
Political Scientist,INTJ,77
Ecologist,INFJ,50
Developmental Biologist,INFJ,22
Meteorologist,INTJ,33
Human Resource Manager,ENFJ,60
Drill Instructor,ESTJ,51
Agricultural Worker,ISTJ,56
Mountain Climber,ESTP,27
Artisan,ISFP,51
Sculptor,ISFP,45
Bank Clerk,ISTJ,32
Mercenary,ISTP,35
Blacksmith,ISTP,48
Nuclear Engineer,INTJ,58
Dancer,ESFP,129
War Photographer,ENTP,53
Bounty Hunter,ISTP,101
Bouncer / Doorman,ESTJ,79
Emergency Medical Technician,ESTP,25
Palm Reader,INFJ,37
Baker,ISFJ,66
Occupational Therapist,ISFJ,40
Miner,ISTP,36
Art Director,INFP,72
Project Manager,ENTJ,32
Artificial Intelligence Technologist,INTP,126
Network Administrator,ISTP,34
Uber Driver,ESTP,28
Art Historian,INFP,39
Sailor,ISTP,16
Engineer,ISTP,16
Pediatric Psychologist,ENFP,14
Pesticide Handler / Sprayer / Applicator,ISTP,9
Construction Worker,ISTP,60
DJ,ESFP,73
Ornithologist,INFP,30
Ethnologist,INFJ,12
Sound Designer,ISFP,24
Debt Collector,ESTJ,28
Theatre Director,ENFP,33
Carpenter,ISTP,48
Musical Instrument Maker,ISFP,22
Bike Repairer,ISTP,29
